,precision,recall,f1-score,support
0,0.7583892617449665,0.7483443708609272,0.7533333333333333,151.0
1,0.5365853658536586,0.55,0.5432098765432098,80.0
accuracy,0.6796536796536796,0.6796536796536796,0.6796536796536796,0.6796536796536796
macro avg,0.6474873137993125,0.6491721854304636,0.6482716049382715,231.0
weighted avg,0.6815740597046867,0.6796536796536796,0.6805633050077494,231.0
