,precision,recall,f1-score,support
0,0.7947368421052632,0.8653295128939829,0.8285322359396433,349.0
1,0.7006369426751592,0.5851063829787234,0.6376811594202898,188.0
accuracy,0.7672253258845437,0.7672253258845437,0.7672253258845437,0.7672253258845437
macro avg,0.7476868923902111,0.7252179479363532,0.7331066976799665,537.0
weighted avg,0.7617931156753571,0.7672253258845437,0.7617165890390131,537.0
