,Accuracy,precision,recall,f1-score,support
0,0.7142857142857143,,,,
0,,0.8148148148148148,0.7284768211920529,0.7692307692307693,151.0
1,,0.5729166666666666,0.6875,0.625,80.0
accuracy,,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
macro avg,,0.6938657407407407,0.7079884105960265,0.6971153846153846,231.0
weighted avg,,0.7310405643738976,0.7142857142857143,0.7192807192807193,231.0
